Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
154,Barcelona,2024-09-15,6,@,Girona,es La Liga,W 4-1,4,1,+3,55,4,0,0,0,6,4,1,0,0,1,0,Match Report
155,Montpellier,2024-09-22,6,,Auxerre,fr Ligue 1,W 3-2,3,2,+1,54,3,0,0,0,6,4,1,1,0,0,0,Match Report
156,Como,2025-04-05,6,@,Monza,it Serie A,W 3-1,3,1,+2,58,3,0,0,0,6,4,0,2,0,0,0,Match Report
157,Como,2025-01-20,6,,Udinese,it Serie A,W 4-1,4,1,+3,51,3,0,0,0,6,5,1,0,0,0,0,Match Report
158,Como,2024-09-29,6,,Hellas Verona,it Serie A,W 3-2,3,2,+1,71,3,0,0,0,6,5,0,1,0,0,0,Match Report
159,Mallorca,2025-02-16,6,,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,6,6,0,0,0,0,0,Match Report
160,Holstein Kiel,2025-01-14,6,,Dortmund,de Bundesliga,W 4-2,4,2,+2,25,4,0,0,0,6,5,0,0,0,0,1,Match Report
161,Gladbach,2024-11-03,6,,Werder Bremen,de Bundesliga,W 4-1,4,1,+3,47,3,0,0,0,6,5,0,0,0,0,1,Match Report
162,Gladbach,2024-10-19,6,,Heidenheim,de Bundesliga,W 3-2,3,2,+1,66,2,1,1,0,6,5,0,0,0,1,0,Match Report
163,Tottenham,2025-04-06,6,,Southampton,eng Premier League,W 3-1,3,1,+2,51,2,1,1,0,6,5,0,0,0,1,0,Match Report
164,Tottenham,2024-12-08,6,,Chelsea,eng Premier League,L 3-4,3,4,-1,39,3,0,0,0,6,4,0,2,0,0,0,Match Report
165,Toulouse,2024-10-27,6,@,Montpellier,fr Ligue 1,W 3-0,3,0,+3,49,3,0,0,0,6,5,0,1,0,0,0,Match Report
166,Fiorentina,2024-11-10,6,,Hellas Verona,it Serie A,W 3-1,3,1,+2,61,3,0,0,0,6,4,1,1,0,0,0,Match Report
167,Crystal Palace,2025-02-25,6,,Aston Villa,eng Premier League,W 4-1,4,1,+3,36,4,0,0,0,6,5,0,0,1,0,0,Match Report
168,Crystal Palace,2024-12-15,6,@,Brighton,eng Premier League,W 3-1,3,1,+2,36,3,0,0,0,6,2,2,1,1,0,0,Match Report
169,Bournemouth,2025-01-18,6,@,Newcastle Utd,eng Premier League,W 4-1,4,1,+3,44,4,0,0,0,6,5,0,0,0,0,1,Match Report
170,Bournemouth,2024-12-22,6,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,40,2,1,1,0,6,3,1,0,0,2,0,Match Report
171,Bournemouth,2024-11-30,6,@,Wolves,eng Premier League,W 4-2,4,2,+2,40,1,3,3,0,6,3,0,0,0,3,0,Match Report
172,Bournemouth,2024-08-31,6,@,Everton,eng Premier League,W 3-2,3,2,+1,53,3,0,0,0,6,6,0,0,0,0,0,Match Report
173,Real Madrid,2025-01-25,6,@,Valladolid,es La Liga,W 3-0,3,0,+3,68,2,1,1,0,6,5,0,0,0,1,0,Match Report
174,Real Madrid,2024-12-14,6,@,Rayo Vallecano,es La Liga,D 3-3,3,3,0,66,3,0,0,0,6,6,0,0,0,0,0,Match Report
175,Real Madrid,2024-12-07,6,@,Girona,es La Liga,W 3-0,3,0,+3,58,3,0,0,0,6,5,0,1,0,0,0,Match Report
176,Real Madrid,2024-09-24,6,,Alavés,es La Liga,W 3-2,3,2,+1,68,3,0,0,0,6,3,0,3,0,0,0,Match Report
177,Real Madrid,2024-09-21,6,,Espanyol,es La Liga,W 4-1,4,1,+3,73,3,1,1,0,6,3,0,1,1,1,0,Match Report
178,Real Madrid,2024-08-25,6,,Valladolid,es La Liga,W 3-0,3,0,+3,63,3,0,0,0,6,5,1,0,0,0,0,Match Report
179,St. Pauli,2025-01-26,6,,Union Berlin,de Bundesliga,W 3-0,3,0,+3,44,3,0,0,0,6,6,0,0,0,0,0,Match Report
180,St. Pauli,2024-11-29,6,,Holstein Kiel,de Bundesliga,W 3-1,3,1,+2,49,3,0,0,0,6,4,0,2,0,0,0,Match Report
181,Marseille,2024-11-23,6,@,Lens,fr Ligue 1,W 3-1,3,1,+2,55,3,0,0,0,6,4,0,0,1,1,0,Match Report
