Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
2540,Juventus,2024-08-19,0,,Como,it Serie A,W 3-0,3,0,+3,57,3,0,0,0,0,0,0,0,,Match Report
2541,Paris S-G,2025-04-05,0,,Angers,fr Ligue 1,W 1-0,1,0,+1,81,1,0,0,0,0,0,0,0,,Match Report
2542,Paris S-G,2025-03-29,0,@,Saint-Étienne,fr Ligue 1,W 6-1,6,1,+5,53,5,1,1,0,0,0,0,0,,Match Report
2543,Paris S-G,2025-03-16,0,,Marseille,fr Ligue 1,W 3-1,3,1,+2,60,2,0,0,0,0,0,0,0,,Match Report
2544,Paris S-G,2025-03-08,0,@,Rennes,fr Ligue 1,W 4-1,4,1,+3,68,4,0,0,0,0,0,0,0,,Match Report
2545,Paris S-G,2025-03-01,0,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,0,0,0,0,,Match Report
2546,Paris S-G,2025-02-23,0,@,Lyon,fr Ligue 1,W 3-2,3,2,+1,65,3,0,0,0,0,0,0,0,,Match Report
2547,Paris S-G,2025-02-15,0,@,Toulouse,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,0,0,0,0,,Match Report
2548,Paris S-G,2025-02-07,0,,Monaco,fr Ligue 1,W 4-1,4,1,+3,63,4,0,0,0,0,0,0,0,,Match Report
2549,Paris S-G,2025-02-01,0,@,Brest,fr Ligue 1,W 5-2,5,2,+3,65,5,0,0,0,0,0,0,0,,Match Report
2550,Paris S-G,2025-01-25,0,,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,0,0,0,0,,Match Report
2551,Paris S-G,2025-01-18,0,@,Lens,fr Ligue 1,W 2-1,2,1,+1,66,2,0,0,0,0,0,0,0,,Match Report
2552,Paris S-G,2025-01-12,0,,Saint-Étienne,fr Ligue 1,W 2-1,2,1,+1,59,1,1,1,0,0,0,0,0,,Match Report
2553,Paris S-G,2024-12-15,0,,Lyon,fr Ligue 1,W 3-1,3,1,+2,68,2,1,1,0,0,0,0,0,,Match Report
2554,Paris S-G,2024-12-06,0,@,Auxerre,fr Ligue 1,D 0-0,0,0,0,73,0,0,0,0,0,0,0,0,,Match Report
2555,Paris S-G,2024-11-30,0,,Nantes,fr Ligue 1,D 1-1,1,1,0,84,1,0,0,0,0,0,0,0,,Match Report
2556,Paris S-G,2024-11-22,0,,Toulouse,fr Ligue 1,W 3-0,3,0,+3,72,3,0,0,0,0,0,0,0,,Match Report
2557,Paris S-G,2024-11-09,0,@,Angers,fr Ligue 1,W 4-2,4,2,+2,70,4,0,0,0,0,0,0,0,,Match Report
2558,Paris S-G,2024-11-02,0,,Lens,fr Ligue 1,W 1-0,1,0,+1,68,1,0,0,0,0,0,0,0,,Match Report
2559,Paris S-G,2024-10-27,0,@,Marseille,fr Ligue 1,W 3-0,3,0,+3,74,2,0,0,0,0,0,0,0,,Match Report
2560,Paris S-G,2024-10-19,0,,Strasbourg,fr Ligue 1,W 4-2,4,2,+2,55,4,0,0,0,0,0,0,0,,Match Report
2561,Paris S-G,2024-10-06,0,@,Nice,fr Ligue 1,D 1-1,1,1,0,71,0,0,0,0,0,0,0,0,,Match Report
2562,Paris S-G,2024-09-21,0,@,Reims,fr Ligue 1,D 1-1,1,1,0,78,1,0,0,0,0,0,0,0,,Match Report
2563,Paris S-G,2024-09-01,0,@,Lille,fr Ligue 1,W 3-1,3,1,+2,58,2,1,1,0,0,0,0,0,,Match Report
2564,Paris S-G,2024-08-23,0,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,0,0,0,0,,Match Report
2565,Paris S-G,2024-08-16,0,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,76,3,1,1,0,0,0,0,0,,Match Report
2566,Real Sociedad,2025-04-06,0,@,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,0,0,0,0,,Match Report
2567,Real Sociedad,2025-03-29,0,,Valladolid,es La Liga,W 2-1,2,1,+1,55,2,0,0,0,0,0,0,0,,Match Report
2568,Real Sociedad,2025-03-16,0,@,Rayo Vallecano,es La Liga,D 2-2,2,2,0,45,2,0,0,0,0,0,0,0,,Match Report
2569,Real Sociedad,2025-03-09,0,,Sevilla,es La Liga,L 0-1,0,1,-1,61,0,0,0,0,0,0,0,0,,Match Report
2570,Real Sociedad,2025-03-02,0,@,Barcelona,es La Liga,L 0-4,0,4,-4,24,0,0,0,0,0,0,0,0,,Match Report
2571,Real Sociedad,2025-02-23,0,,Leganés,es La Liga,W 3-0,3,0,+3,55,3,0,0,0,0,0,0,0,,Match Report
2572,Real Sociedad,2025-02-02,0,@,Osasuna,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,0,0,0,0,,Match Report
2573,Real Sociedad,2025-01-26,0,,Getafe,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,0,0,0,0,,Match Report
2574,Real Sociedad,2025-01-19,0,@,Valencia,es La Liga,L 0-1,0,1,-1,64,0,0,0,0,0,0,0,0,,Match Report
2575,Real Sociedad,2025-01-13,0,,Villarreal,es La Liga,W 1-0,1,0,+1,56,1,0,0,0,0,0,0,0,,Match Report
2576,Real Sociedad,2024-12-21,0,@,Celta Vigo,es La Liga,L 0-2,0,2,-2,58,0,0,0,0,0,0,0,0,,Match Report
2577,Real Sociedad,2024-12-15,0,,Las Palmas,es La Liga,D 0-0,0,0,0,61,0,0,0,0,0,0,0,0,,Match Report
2578,Real Sociedad,2024-12-08,0,@,Leganés,es La Liga,W 3-0,3,0,+3,44,3,0,0,0,0,0,0,0,,Match Report
2579,Real Sociedad,2024-12-01,0,,Betis,es La Liga,W 2-0,2,0,+2,41,0,1,1,0,0,0,0,0,,Match Report
